	Caluromys_lanatus	Caluromys_philander	Chironectes_minimus	Cryptonanus_agricolai	Cryptonanus_chacoensis	Cryptonanus_guahybae	Didelphis_albiventris	Didelphis_aurita	Didelphis_marsupialis	Dromiciops_gliroides	Gracilianus_agilis	Gracilinanus_microtarsus	Lutreolina_crassicaudata	Micoureus_constantiae	Micoureus_demerarae	Micoureus_paraguayanus	Micoureus_regina	Marmosa_murina	Marmosa_robinsoni	Marmosops_bishopi	Marmosops_incanus	Marmosops_noctivagus	Marmosops_ocellatus	Marmosops_parvidens	Marmosops_paulensis	Marmosops_pinheiroi	Metachirus_nudicaudatus	Monodelphis_adusta	Monodelphis_americana	Monodelphis_brevicaudata	Monodelphis_dimidiata	Monodelphis_domestica	Monodelphis_scalops	Monodelphis_iheringi	Monodelphis_kunsi	Monodelphis_touan	Monodelphis_umbristriata	Philander_andersoni	Philander_frenatus	Philander_opossum	Thylamys_elegans	Thylamys_karimii	Thylamys_macrurus	Thylamys_pusillus	Thylamys_sponsorius	Thylamys_velutinus	Abrawayaomys_ruschi	Abrothrix_andinus	Abrothrix_illuteus	Abrothrix_longipilis	Abrothrix_olivaceus	Akodon_aerosus	Akodon_azarae	Akodon_cursor	Akodon_dayi	Akodon_lutescens	Akodon_molinae	Akodon_montensis	Akodon_mystax	Akodon_paranaensis	Akodon_reigi	Akodon_serrensis	Akodon_simulator	Akodon_spegazzinii	Akodon_toba	Andalgalomys_pearsoni	Andinomys_edax	Bibimys_labiosus	Blarinomys_breviceps	Brucepattersonius_griserufescens	Brucepattersonius_iheringi	Brucepattersonius_soricinus	Calomys_callosus	Calomys_expulsus	Calomys_laucha	Calomys_lepidus	Calomys_musculinus	Calomys_tener	Calomys_tocantinsi	Cerradomys_langguthi	Cerradomys_maracajuensis	Cerradomys_marinhus	Cerradomys_scotti	Cerradomys_subflavus	Cerradomys_vivoi	Chelemys_macronyx	Delomys_collinus	Delomys_dorsalis	Delomys_sublineatus	Drymoreomys_albimaculatus	Eligmodontia_puerulus	Eligmodontia_typus	Euryoryzomys_emmonsae	Euryoryzomys_lamia	Euryoryzomys_macconnelli	Euryoryzomys_nitidus	Euryoryzomys_russatus	Geoxus_valdivianus	Graomys_griseoflavus	Holochilus_brasiliensis	Holochilus_chacarius	Holochilus_sciureus	Hylaeamys_acritus	Hylaeamys_laticeps	Hylaeamys_megacephalus	Hylaeamys_oniscus	Hylaeamys_yunganus	Irenomys_tarsalis	Juliomys_ossitenuis	Juliomys_pictipes	Juscelinomys_huanchacae	Kunsia_tomentosus	Loxodontomys_micropus	Lundomys_molitor	Microryzomys_minutus	Neacomys_dubosti	Neacomys_paracou	Neacomys_spinosus	Neacomys_tenuipes	Necromys_lactens	Necromys_lasiurus	Necromys_lenguarum	Necromys_obscurus	Nectomys_rattus	Nectomys_squamipes	Nephelomys_keaysi	Oecomys_auyantepui	Oecomys_bicolor	Oecomys_catherinae	Oecomys_concolor	Oecomys_mamorae	Oecomys_paricola	Oecomys_rex	Oecomys_roberti	Oecomys_rutilus	Oecomys_speciosus	Oecomys_trinitatis	Oligoryzomys_chacoensis	Oligoryzomys_destructor	Oligoryzomys_flavescens	Oligoryzomys_fornesi	Oligoryzomys_fulvencens	Oligoryzomys_longicaudatus	Oligoryzomys_microtis	Oligoryzomys_nigripes	Oligoryzomys_rupestris	Oligoryzomys_stramineus	Oxymycterus_caparaoe	Oxymycterus_dasytrichus	Oxymycterus_delator	Oxymycterus_hispidus	Oxymycterus_judex	Oxymycterus_nasutus	Oxymycterus_robertii	Phyllotis_darwini	Phyllotis_magister	Phyllotis_osilae	Phyllotis_xanthopygus	Pseudoryzomys_simplex	Rhagomys_rufecens	Rhipidomys_ipukensis	Rhipidomys_leucodactylus	Rhipidomys_macrurus	Rhipidomys_mastacalis	Rhipidomys_nitela	Scapteromys_tumidus	Scolomys_melanops	Sigmodon_alstoni	Sigmodon_hispidus	Sooretamys_angouya	Thalpomys_cerradensis	Thalpomys_lasiotis	Thaptomys_nigrita	Wiedomys_pyrrhorhinos	Zygodontomys_brevicauda
A1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A8	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A9	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A10	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
